Taxonomy.Order,Category,English.name,Scientific.Name,English.India,IUCN,WG,Genus.Name,Species.Name,Subspecies.Name,Feeding Guild,Raptors,Primary Hole-nesters,Woodland Understorey Birds,Parasitic Cuckoos
507,species,Baikal Teal,Sibirionetta formosa,Baikal Teal,,,Sibirionetta,formosa,,Aquatic-Ominvore,,,,
509,species,Green-winged Teal,Anas crecca,Green-winged Teal (Common Teal),,,Anas,crecca,,Aquatic-Ominvore,,,,
521,slash,Garganey/Green-winged Teal,Spatula querquedula/Anas crecca,,,,Anas,querquedula/crecca,,Aquatic-Ominvore,,,,
531,species,Andaman Teal,Anas albogularis,Andaman Teal (Sunda Teal),Vulnerable,,Anas,albogularis,,Aquatic-Ominvore,,,,
540,spuh,teal sp.,Anas sp. (teal sp.),,,,Anas,sp.,,Aquatic-Ominvore,,,,
541,spuh,dabbling duck sp.,Anas sp.,,,,Anas,sp.,,Aquatic-Ominvore,,,,
543,species,Marbled Teal,Marmaronetta angustirostris,Marbled Teal (Marbled Duck),Vulnerable,,Marmaronetta,angustirostris,,Aquatic-Ominvore,,,,
544,species,Pink-headed Duck,Rhodonessa caryophyllacea,Pink-headed Duck,Critically endangered,,Rhodonessa,caryophyllacea,,Aquatic-Ominvore,,,,
545,species,White-winged Duck,Asarcornis scutulata,White-winged Duck,Endangered,,Asarcornis,scutulata,,Aquatic-Ominvore,,,,
546,species,Red-crested Pochard,Netta rufina,Red-crested Pochard,,,Netta,rufina,,Aquatic-Ominvore,,,,
555,species,Common Pochard,Aythya ferina,Common Pochard,Vulnerable,,Aythya,ferina,,Aquatic-Ominvore,,,,
558,species,Ferruginous Duck,Aythya nyroca,Ferruginous Duck (Ferruginous Pochard),Near-threatened,,Aythya,nyroca,,Aquatic-Ominvore,,,,
561,species,Baer's Pochard,Aythya baeri,Baer's Pochard,Critically endangered,,Aythya,baeri,,Aquatic-Ominvore,,,,
563,slash,Ferruginous Duck/Baer's Pochard,Aythya nyroca/baeri,,,,Aythya,nyroca/baeri,,Aquatic-Ominvore,,,,
565,species,Tufted Duck,Aythya fuligula,Tufted Duck,,,Aythya,fuligula,,Aquatic-Ominvore,,,,
570,species,Greater Scaup,Aythya marila,Greater Scaup,,,Aythya,marila,,Aquatic-Ominvore,,,,
584,spuh,Aythya sp.,Aythya sp.,,,,Aythya,sp.,,Aquatic-Ominvore,,,,
