Taxonomy.Order,Category,English.name,Scientific.Name,English.India,IUCN,WG,Genus.Name,Species.Name,Subspecies.Name,Feeding Guild,Raptors,Primary Hole-nesters,Woodland Understorey Birds,Parasitic Cuckoos
662,species,Tufted Duck,Aythya fuligula,Tufted Duck,,,Aythya,fuligula,,Aquatic-Ominvore,,,,
669,species,Greater Scaup,Aythya marila,Greater Scaup,,,Aythya,marila,,Aquatic-Ominvore,,,,
684,spuh,Aythya sp.,Aythya sp.,Aythya duck sp.,,,Aythya,sp.,,Aquatic-Ominvore,,,,
716,species,Long-tailed Duck,Clangula hyemalis,Long-tailed Duck,Vulnerable,,Clangula,hyemalis,,Aquatic-Ominvore,,,,
718,species,Common Goldeneye,Bucephala clangula,Common Goldeneye,,,Bucephala,clangula,,Aquatic-Ominvore,,,,
727,species,Smew,Mergellus albellus,Smew,,,Mergellus,albellus,,Aquatic-Ominvore,,,,
737,species,Common Merganser,Mergus merganser,Common Merganser,,,Mergus,merganser,,Aquatic-Ominvore,,,,
748,slash,Common/Red-breasted Merganser,Mergus merganser/serrator,Common/Red-breasted Merganser,,,Mergus,merganser/serrator,,Aquatic-Ominvore,,,,
750,spuh,merganser sp.,Mergellus/Lophodytes/Mergus sp.,merganser sp.,,,Mergellus/Lophodytes/Mergus,sp.,,Aquatic-Ominvore,,,,
758,species,White-headed Duck,Oxyura leucocephala,White-headed Duck,Endangered,,Oxyura,leucocephala,,Aquatic-Ominvore,,,,
767,spuh,duck sp.,Anatidae (duck sp.),duck sp.,,,Anatidae,sp.,,Aquatic-Ominvore,,,,
768,spuh,waterfowl sp.,Anatidae sp.,waterfowl sp.,,,Anatidae,sp.,,Aquatic-Ominvore,,,,
796,species,Nicobar Megapode,Megapodius nicobariensis,Nicobar Megapode,Vulnerable,,Megapodius,nicobariensis,,Terrestrial-Insectivore,,,X,
1155,species,Hill Partridge,Arborophila torqueola,Hill Partridge,,,Arborophila,torqueola,,Terrestrial-Insectivore,,,X,
1162,species,Chestnut-breasted Partridge,Arborophila mandellii,Chestnut-breasted Partridge,Near Threatened,,Arborophila,mandellii,,Terrestrial-Insectivore,,,X,
1166,species,Rufous-throated Partridge,Arborophila rufogularis,Rufous-throated Partridge,,,Arborophila,rufogularis,,Terrestrial-Insectivore,,,X,
1181,species,White-cheeked Partridge,Arborophila atrogularis,White-cheeked Partridge,,,Arborophila,atrogularis,,Terrestrial-Insectivore,,,X,
1559,spuh,Arborophila/Tropicoperdix sp.,Arborophila/Tropicoperdix sp.,Arborophila partridge sp.,,,Arborophila/Tropicoperdix,sp.,,Terrestrial-Insectivore,,,X,
1539,species,Indian Peafowl,Pavo cristatus,Indian Peafowl,,,Pavo,cristatus,,Terrestrial-Insectivore,,,X,
1541,species,Green Peafowl,Pavo muticus,Green Peafowl,Endangered,,Pavo,muticus,,Terrestrial-Insectivore,,,X,
1561,species,Red Spurfowl,Galloperdix spadicea,Red Spurfowl,,,Galloperdix,spadicea,,Terrestrial-Insectivore,,,X,
1565,species,Painted Spurfowl,Galloperdix lunulata,Painted Spurfowl,,,Galloperdix,lunulata,,Terrestrial-Insectivore,,,X,
1566,slash,Red/Painted Spurfowl,Galloperdix spadicea/lunulata,Red/Painted Spurfowl,,,Galloperdix,spadicea/lunulata,,Terrestrial-Insectivore,,,X,
1573,species,Gray Peacock-Pheasant,Polyplectron bicalcaratum,Gray Peacock-Pheasant,,,Polyplectron,bicalcaratum,,Terrestrial-Insectivore,,,X,
1690,species,Blue-breasted Quail,Synoicus chinensis,Blue-breasted Quail,,,Synoicus,chinensis,,Granivore-Insectivore,,,,
1708,species,Japanese Quail,Coturnix japonica,Japanese Quail,Near Threatened,,Coturnix,japonica,,Granivore-Insectivore,,,,
1702,species,Common Quail,Coturnix coturnix,Common Quail,,,Coturnix,coturnix,,Granivore-Insectivore,,,,
1714,species,Rain Quail,Coturnix coromandelica,Rain Quail,,,Coturnix,coromandelica,,Granivore-Insectivore,,,,
1715,slash,Common/Rain Quail,Coturnix coturnix/coromandelica,Common/Rain Quail,,,Coturnix,coturnix/coromandelica,,Granivore-Insectivore,,,,
1718,spuh,old world quail sp.,Synoicus/Coturnix sp.,old world quail sp.,,,Synoicus/Coturnix,sp.,,Granivore-Insectivore,,,,
1729,species,Chukar,Alectoris chukar,Chukar Partridge,,,Alectoris,chukar,,Terrestrial-Insectivore,,,X,
1655,species,Tibetan Snowcock,Tetraogallus tibetanus,Tibetan Snowcock,,,Tetraogallus,tibetanus,,Terrestrial-Insectivore,,,X,
1665,species,Himalayan Snowcock,Tetraogallus himalayensis,Himalayan Snowcock,,,Tetraogallus,himalayensis,,Terrestrial-Insectivore,,,X,
1671,slash,Tibetan/Himalayan Snowcock,Tetraogallus tibetanus/himalayensis,Tibetan/Himalayan Snowcock,,,Tetraogallus,tibetanus/himalayensis,,Terrestrial-Insectivore,,,X,
1756,species,Jungle Bush-Quail,Perdicula asiatica,Jungle Bush-Quail,,,Perdicula,asiatica,,Granivore-Insectivore,,,,
1762,species,Rock Bush-Quail,Perdicula argoondah,Rock Bush-Quail,,,Perdicula,argoondah,,Granivore-Insectivore,,,,
